CASEID;AGE1979;SAMPLE_SEX;SAMPLE_RACE;AFQT;ASVAB;HIGHESTGRADE;HEALTHLIMIT;INCOME;INDUSTRY;NUMJOBS;URBAN_RURAL;REGION;MARSTAT_COL;YR_ENT_LF;YR_EMP;YR_UNEMP;YR_OUT;AGE_ENT;UNEMP
2.0;20.0;Female;Non-Black, Non-Hispanic;6841.0;52.0;High school;No;19000.0;Manufacturing;2.0;Urban;Northeast;Never married;1979.0;15.0;0.0;4.0;20.0;0.0
6.0;18.0;Male;Non-Black, Non-Hispanic;99393.0;68.0;College;No;25000.0;Wholesale and Retail Trade;2.0;Urban;West;Married, together;1982.0;15.0;0.0;0.0;21.0;0.0
8.0;20.0;Female;Non-Black, Non-Hispanic;44022.0;48.0;High school;No;15500.0;Business and Repair Services;3.0;Urban;Northeast;Other;1981.0;16.0;0.0;1.0;22.0;0.0
9.0;15.0;Male;Non-Black, Non-Hispanic;59683.0;46.0;College;No;20000.0;Entertainment and Recreation Services;1.0;Urban;Northeast;Married, together;1981.0;16.0;0.0;1.0;17.0;0.0
13.0;20.0;Male;Non-Black, Non-Hispanic;72313.0;30.0;College;No;31000.0;Personal Services;2.0;Urban;Northeast;Married, together;1979.0;19.0;0.0;0.0;20.0;0.0
14.0;15.0;Female;Non-Black, Non-Hispanic;98798.0;53.0;College;No;29000.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Married, together;1982.0;16.0;0.0;0.0;18.0;0.0
16.0;20.0;Female;Non-Black, Non-Hispanic;50283.0;58.0;High school;No;36500.0;Finance, Insurance, and Real Estate;2.0;Urban;Northeast;Married, together;1981.0;17.0;0.0;0.0;22.0;0.0
17.0;22.0;Male;Non-Black, Non-Hispanic;89669.0;58.0;High school;No;20000.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Never married;1979.0;19.0;0.0;0.0;22.0;0.0
18.0;21.0;Male;Non-Black, Non-Hispanic;95977.0;61.0;High school;No;57124.0;Wholesale and Retail Trade;2.0;Urban;West;Married, together;1979.0;19.0;0.0;0.0;21.0;0.0
21.0;17.0;Female;Non-Black, Non-Hispanic;88416.0;64.0;College;No;35000.0;Wholesale and Retail Trade;3.0;Urban;Northeast;Married, together;1979.0;18.0;1.0;0.0;17.0;1.0
22.0;16.0;Female;Non-Black, Non-Hispanic;89167.0;45.0;College;No;17900.0;Wholesale and Retail Trade;2.0;Rural;Northeast;Married, together;1979.0;18.0;1.0;0.0;16.0;1.0
