CASEID;AGE1979;SAMPLE_SEX;SAMPLE_RACE;AFQT;ASVAB;HIGHESTGRADE;HEALTHLIMIT;INCOME;INDUSTRY;NUMJOBS;URBAN_RURAL;REGION;MARSTAT_COL;YR_ENT_LF;YR_EMP;YR_UNEMP;YR_OUT;AGE_ENT;UNEMP
6.0;18.0;Male;Non-Black, Non-Hispanic;99393.0;68.0;College;No;25000.0;Wholesale and Retail Trade;2.0;Urban;West;Married, together;1982.0;15.0;0.0;0.0;21.0;0.0
9.0;15.0;Male;Non-Black, Non-Hispanic;59683.0;46.0;College;No;20000.0;Entertainment and Recreation Services;1.0;Urban;Northeast;Married, together;1981.0;16.0;0.0;1.0;17.0;0.0
13.0;20.0;Male;Non-Black, Non-Hispanic;72313.0;30.0;College;No;31000.0;Personal Services;2.0;Urban;Northeast;Married, together;1979.0;19.0;0.0;0.0;20.0;0.0
17.0;22.0;Male;Non-Black, Non-Hispanic;89669.0;58.0;High school;No;20000.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Never married;1979.0;19.0;0.0;0.0;22.0;0.0
18.0;21.0;Male;Non-Black, Non-Hispanic;95977.0;61.0;High school;No;57124.0;Wholesale and Retail Trade;2.0;Urban;West;Married, together;1979.0;19.0;0.0;0.0;21.0;0.0
45.0;19.0;Male;Non-Black, Non-Hispanic;50629.0;50.0;High school;No;40000.0;Transportation, Communication, Public Utilities;3.0;Urban;Northeast;Married, together;1980.0;15.0;0.0;0.0;20.0;0.0
47.0;20.0;Male;Non-Black, Non-Hispanic;75473.0;51.0;High school;No;34000.0;Manufacturing;2.0;Rural;Northeast;Never married;1979.0;18.0;1.0;0.0;20.0;1.0
59.0;20.0;Male;Non-Black, Non-Hispanic;98841.0;67.0;High school;No;26000.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Other;1979.0;19.0;0.0;0.0;20.0;0.0
76.0;15.0;Male;Non-Black, Non-Hispanic;42780.0;36.0;College;No;24000.0;Manufacturing;2.0;Urban;Northeast;Never married;1981.0;15.0;0.0;2.0;17.0;0.0
79.0;18.0;Male;Non-Black, Non-Hispanic;96084.0;60.0;College;No;81481.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Married, together;1985.0;12.0;0.0;0.0;24.0;0.0
83.0;18.0;Male;Black;2366.0;28.0;Less than high school;No;0.0;Wholesale and Retail Trade;0.0;Urban;Northeast;Never married;1981.0;9.0;2.0;6.0;20.0;1.0
88.0;21.0;Male;Black;80798.0;68.0;College;No;28000.0;Construction;2.0;Urban;Northeast;Never married;1980.0;18.0;0.0;0.0;22.0;0.0
101.0;20.0;Male;Non-Black, Non-Hispanic;87368.0;51.0;College;No;42000.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Married, together;1981.0;16.0;0.0;0.0;22.0;0.0
103.0;20.0;Male;Non-Black, Non-Hispanic;76421.0;42.0;College;No;30000.0;Professional and Related Services;2.0;Rural;Northeast;Never married;1980.0;17.0;0.0;1.0;21.0;0.0
106.0;18.0;Male;Non-Black, Non-Hispanic;87651.0;62.0;College;No;37000.0;Finance, Insurance, and Real Estate;2.0;Urban;Northeast;Never married;1979.0;17.0;1.0;1.0;18.0;1.0
107.0;17.0;Male;Non-Black, Non-Hispanic;65347.0;70.0;College;No;25000.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Married, together;1979.0;18.0;1.0;0.0;17.0;1.0
108.0;20.0;Male;Non-Black, Non-Hispanic;96818.0;83.0;College;No;10000.0;Wholesale and Retail Trade;3.0;Urban;Northeast;Never married;1979.0;17.0;0.0;2.0;20.0;0.0
110.0;21.0;Male;Non-Black, Non-Hispanic;64697.0;62.0;High school;No;27000.0;Entertainment and Recreation Services;2.0;Urban;Northeast;Married, together;1979.0;19.0;0.0;0.0;21.0;0.0
117.0;19.0;Male;Non-Black, Non-Hispanic;98349.0;32.0;College;No;40000.0;Wholesale and Retail Trade;2.0;Rural;Northeast;Married, together;1982.0;16.0;0.0;0.0;22.0;0.0
122.0;17.0;Male;Non-Black, Non-Hispanic;52132.0;47.0;High school;No;50000.0;Wholesale and Retail Trade;3.0;Urban;Northeast;Married, together;1982.0;15.0;0.0;1.0;20.0;0.0
126.0;20.0;Male;Non-Black, Non-Hispanic;67259.0;40.0;College;No;62836.0;Wholesale and Retail Trade;2.0;Urban;Northeast;Married, together;1979.0;19.0;0.0;0.0;20.0;0.0
135.0;14.0;Male;Non-Black, Non-Hispanic;38315.0;45.0;College;No;34000.0;Construction;4.0;Urban;Northeast;Married, together;1981.0;15.0;1.0;0.0;16.0;1.0
145.0;16.0;Male;Non-Black, Non-Hispanic;62607.0;39.0;Less than high school;No;5000.0;Wholesale and Retail Trade;1.0;Urban;Northeast;Never married;1984.0;10.0;4.0;0.0;21.0;1.0
148.0;16.0;Male;Non-Black, Non-Hispanic;74997.0;47.0;High school;No;36000.0;Personal Services;2.0;Urban;Northeast;Never married;1981.0;17.0;0.0;0.0;18.0;0.0
155.0;15.0;Male;Non-Black, Non-Hispanic;47003.0;48.0;Less than high school;No;38000.0;Personal Services;3.0;Urban;Northeast;Other;1981.0;14.0;2.0;0.0;17.0;1.0
162.0;17.0;Male;Non-Black, Non-Hispanic;98253.0;60.0;College;No;55000.0;Manufacturing;2.0;Urban;North central;Married, together;1979.0;19.0;0.0;0.0;17.0;0.0
